




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2017-11-28
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
GO biological process complete	Homo sapiens - REFLIST (21042)	upload_1 (591)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
establishment of protein localization to endoplasmic reticulum (GO:0072599)	106	20	2.98	+	6.72	2.24E-10	1.28E-08
7-methylguanosine RNA capping (GO:0009452)	34	13	.95	+	13.61	2.49E-10	1.42E-08
RNA capping (GO:0036260)	34	13	.95	+	13.61	2.49E-10	1.42E-08
transcription elongation from RNA polymerase II promoter (GO:0006368)	96	19	2.70	+	7.05	3.12E-10	1.77E-08
cellular catabolic process (GO:0044248)	1665	94	46.76	+	2.01	3.23E-10	1.83E-08
cellular response to decreased oxygen levels (GO:0036294)	194	26	5.45	+	4.77	3.91E-10	2.20E-08
cell cycle G1/S phase transition (GO:0044843)	123	21	3.45	+	6.08	4.02E-10	2.26E-08
organic substance catabolic process (GO:1901575)	1647	93	46.26	+	2.01	4.39E-10	2.46E-08
DNA conformation change (GO:0071103)	260	30	7.30	+	4.11	4.70E-10	2.62E-08
protein localization to endoplasmic reticulum (GO:0070972)	125	21	3.51	+	5.98	5.22E-10	2.90E-08
regulation of organelle organization (GO:0033043)	1214	75	34.10	+	2.20	5.38E-10	2.97E-08
spindle organization (GO:0007051)	126	21	3.54	+	5.93	5.94E-10	3.28E-08
mitotic sister chromatid segregation (GO:0000070)	101	19	2.84	+	6.70	6.61E-10	3.63E-08
T cell receptor signaling pathway (GO:0050852)	155	23	4.35	+	5.28	6.94E-10	3.80E-08
regulation of RNA metabolic process (GO:0051252)	3893	172	109.34	+	1.57	8.57E-10	4.68E-08
regulation of cellular ketone metabolic process (GO:0010565)	172	24	4.83	+	4.97	8.99E-10	4.89E-08
positive regulation of catabolic process (GO:0009896)	452	40	12.70	+	3.15	9.30E-10	5.04E-08
DNA biosynthetic process (GO:0071897)	130	21	3.65	+	5.75	9.83E-10	5.31E-08
ubiquitin-dependent protein catabolic process (GO:0006511)	493	42	13.85	+	3.03	1.01E-09	5.43E-08
regulation of rRNA processing (GO:2000232)	11	9	.31	+	29.13	1.02E-09	5.49E-08
RNA biosynthetic process (GO:0032774)	2598	127	72.97	+	1.74	1.07E-09	5.71E-08
RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)	81	17	2.28	+	7.47	1.23E-09	6.55E-08
DNA-templated transcription, initiation (GO:0006352)	191	25	5.36	+	4.66	1.32E-09	7.02E-08
modification-dependent protein catabolic process (GO:0019941)	499	42	14.02	+	3.00	1.41E-09	7.45E-08
protein targeting to membrane (GO:0006612)	133	21	3.74	+	5.62	1.42E-09	7.48E-08
transcription, DNA-templated (GO:0006351)	2588	126	72.69	+	1.73	1.51E-09	7.92E-08
nucleic acid-templated transcription (GO:0097659)	2589	126	72.72	+	1.73	1.52E-09	7.97E-08
nuclear division (GO:0000280)	275	30	7.72	+	3.88	1.58E-09	8.22E-08
protein targeting (GO:0006605)	276	30	7.75	+	3.87	1.70E-09	8.85E-08
regulation of chromosome segregation (GO:0051983)	96	18	2.70	+	6.68	1.95E-09	1.01E-07
G1/S transition of mitotic cell cycle (GO:0000082)	122	20	3.43	+	5.84	1.97E-09	1.02E-07
regulation of gene silencing by RNA (GO:0060966)	84	17	2.36	+	7.21	1.99E-09	1.02E-07
regulation of posttranscriptional gene silencing (GO:0060147)	84	17	2.36	+	7.21	1.99E-09	1.03E-07
regulation of morphogenesis of an epithelium (GO:1905330)	181	24	5.08	+	4.72	2.25E-09	1.15E-07
negative regulation of canonical Wnt signaling pathway (GO:0090090)	167	23	4.69	+	4.90	2.53E-09	1.29E-07
negative regulation of protein modification process (GO:0031400)	616	47	17.30	+	2.72	2.77E-09	1.41E-07
regulation of ribosome biogenesis (GO:0090069)	13	9	.37	+	24.65	2.89E-09	1.46E-07
positive regulation of cellular catabolic process (GO:0031331)	395	36	11.09	+	3.24	3.22E-09	1.62E-07
regulation of mRNA processing (GO:0050684)	113	19	3.17	+	5.99	3.44E-09	1.73E-07
postreplication repair (GO:0006301)	54	14	1.52	+	9.23	3.51E-09	1.76E-07
organelle fission (GO:0048285)	305	31	8.57	+	3.62	3.95E-09	1.98E-07
protein polyubiquitination (GO:0000209)	288	30	8.09	+	3.71	4.21E-09	2.10E-07
positive regulation of biological process (GO:0048518)	5549	222	155.85	+	1.42	4.26E-09	2.12E-07
cellular protein catabolic process (GO:0044257)	583	45	16.37	+	2.75	4.40E-09	2.18E-07
positive regulation of transferase activity (GO:0051347)	687	50	19.30	+	2.59	4.62E-09	2.28E-07
positive regulation of cellular process (GO:0048522)	4976	204	139.76	+	1.46	4.91E-09	2.42E-07
positive regulation of ribosome biogenesis (GO:0090070)	9	8	.25	+	31.65	5.79E-09	2.82E-07
telomere maintenance (GO:0000723)	91	17	2.56	+	6.65	5.76E-09	2.82E-07
positive regulation of rRNA processing (GO:2000234)	9	8	.25	+	31.65	5.79E-09	2.83E-07
positive regulation of cellular metabolic process (GO:0031325)	3050	140	85.66	+	1.63	6.14E-09	2.98E-07
nucleus organization (GO:0006997)	147	21	4.13	+	5.09	7.00E-09	3.39E-07
regulation of gene silencing (GO:0060968)	106	18	2.98	+	6.05	7.75E-09	3.74E-07
regulation of gene silencing by miRNA (GO:0060964)	81	16	2.28	+	7.03	8.06E-09	3.88E-07
telomere organization (GO:0032200)	94	17	2.64	+	6.44	8.83E-09	4.23E-07
snRNA transcription (GO:0009301)	70	15	1.97	+	7.63	9.10E-09	4.34E-07
snRNA transcription from RNA polymerase II promoter (GO:0042795)	70	15	1.97	+	7.63	9.10E-09	4.35E-07
activation of innate immune response (GO:0002218)	246	27	6.91	+	3.91	9.25E-09	4.40E-07
proteolysis involved in cellular protein catabolic process (GO:0051603)	556	43	15.62	+	2.75	9.33E-09	4.41E-07
tRNA processing (GO:0008033)	121	19	3.40	+	5.59	9.32E-09	4.42E-07
regulation of gene expression, epigenetic (GO:0040029)	216	25	6.07	+	4.12	1.26E-08	5.94E-07
regulation of sister chromatid segregation (GO:0033045)	72	15	2.02	+	7.42	1.27E-08	5.94E-07
histone mRNA metabolic process (GO:0008334)	24	10	.67	+	14.84	1.56E-08	7.30E-07
system process (GO:0003008)	1842	17	51.74	-	.33	1.65E-08	7.71E-07
translesion synthesis (GO:0019985)	42	12	1.18	+	10.17	1.86E-08	8.66E-07
tRNA export from nucleus (GO:0006409)	33	11	.93	+	11.87	1.95E-08	9.02E-07
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431)	33	11	.93	+	11.87	1.95E-08	9.05E-07
nuclear import (GO:0051170)	142	20	3.99	+	5.01	1.98E-08	9.12E-07
DNA synthesis involved in DNA repair (GO:0000731)	75	15	2.11	+	7.12	2.04E-08	9.39E-07
protein catabolic process (GO:0030163)	636	46	17.86	+	2.58	2.36E-08	1.08E-06
regulation of mitotic nuclear division (GO:0007088)	160	21	4.49	+	4.67	2.65E-08	1.21E-06
positive regulation of DNA biosynthetic process (GO:2000573)	65	14	1.83	+	7.67	2.69E-08	1.23E-06
negative regulation of cellular protein metabolic process (GO:0032269)	1061	64	29.80	+	2.15	2.80E-08	1.27E-06
peptidyl-lysine modification (GO:0018205)	299	29	8.40	+	3.45	3.24E-08	1.46E-06
tRNA transport (GO:0051031)	35	11	.98	+	11.19	3.23E-08	1.46E-06
macromolecule modification (GO:0043412)	3437	150	96.53	+	1.55	3.25E-08	1.46E-06
error-free translesion synthesis (GO:0070987)	19	9	.53	+	16.87	3.47E-08	1.56E-06
regulation of DNA biosynthetic process (GO:2000278)	105	17	2.95	+	5.76	3.77E-08	1.69E-06
regulation of RNA splicing (GO:0043484)	119	18	3.34	+	5.39	3.82E-08	1.70E-06
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1764	91	49.54	+	1.84	3.81E-08	1.70E-06
RNA modification (GO:0009451)	135	19	3.79	+	5.01	4.51E-08	2.00E-06
negative regulation of Wnt signaling pathway (GO:0030178)	199	23	5.59	+	4.12	4.94E-08	2.19E-06
DNA replication initiation (GO:0006270)	37	11	1.04	+	10.58	5.21E-08	2.30E-06
polyadenylation-dependent RNA catabolic process (GO:0043633)	8	7	.22	+	31.15	5.83E-08	2.56E-06
Fc receptor signaling pathway (GO:0038093)	201	23	5.65	+	4.07	5.83E-08	2.57E-06
regulation of nuclear division (GO:0051783)	185	22	5.20	+	4.23	6.11E-08	2.68E-06
catabolic process (GO:0009056)	1940	97	54.49	+	1.78	6.14E-08	2.68E-06
membrane disassembly (GO:0030397)	48	12	1.35	+	8.90	6.54E-08	2.84E-06
nuclear envelope disassembly (GO:0051081)	48	12	1.35	+	8.90	6.54E-08	2.85E-06
cellular response to tumor necrosis factor (GO:0071356)	239	25	6.71	+	3.72	7.70E-08	3.33E-06
regulation of transferase activity (GO:0051338)	1018	61	28.59	+	2.13	7.84E-08	3.38E-06
protein ubiquitination (GO:0016567)	712	48	20.00	+	2.40	8.13E-08	3.50E-06
transcription elongation from RNA polymerase I promoter (GO:0006362)	30	10	.84	+	11.87	8.69E-08	3.73E-06
positive regulation of chromosome organization (GO:2001252)	157	20	4.41	+	4.54	8.84E-08	3.78E-06
locomotion (GO:0040011)	1169	7	32.83	-	.21	9.44E-08	4.03E-06
negative regulation of protein metabolic process (GO:0051248)	1118	65	31.40	+	2.07	1.01E-07	4.29E-06
organonitrogen compound biosynthetic process (GO:1901566)	1434	77	40.28	+	1.91	1.12E-07	4.75E-06
termination of RNA polymerase I transcription (GO:0006363)	31	10	.87	+	11.49	1.12E-07	4.76E-06
protein-DNA complex subunit organization (GO:0071824)	227	24	6.38	+	3.76	1.17E-07	4.93E-06
innate immune response-activating signal transduction (GO:0002758)	229	24	6.43	+	3.73	1.36E-07	5.71E-06
protein localization to nucleus (GO:0034504)	178	21	5.00	+	4.20	1.38E-07	5.78E-06
protein-DNA complex assembly (GO:0065004)	195	22	5.48	+	4.02	1.41E-07	5.92E-06
regulation of cellular protein metabolic process (GO:0032268)	2520	116	70.78	+	1.64	1.44E-07	6.01E-06
regulation of protein metabolic process (GO:0051246)	2717	123	76.31	+	1.61	1.72E-07	7.18E-06
ribosome assembly (GO:0042255)	66	13	1.85	+	7.01	2.10E-07	8.70E-06
multi-organism process (GO:0051704)	2330	109	65.44	+	1.67	2.13E-07	8.84E-06
establishment of protein localization to membrane (GO:0090150)	218	23	6.12	+	3.76	2.22E-07	9.15E-06
regulation of telomere maintenance (GO:0032204)	79	14	2.22	+	6.31	2.26E-07	9.30E-06
ncRNA 3'-end processing (GO:0043628)	25	9	.70	+	12.82	2.27E-07	9.34E-06
regulation of transcription from RNA polymerase I promoter (GO:0006356)	34	10	.95	+	10.47	2.31E-07	9.43E-06
transcription initiation from RNA polymerase I promoter (GO:0006361)	34	10	.95	+	10.47	2.31E-07	9.45E-06
mitotic nuclear envelope disassembly (GO:0007077)	44	11	1.24	+	8.90	2.32E-07	9.45E-06
G2/M transition of mitotic cell cycle (GO:0000086)	136	18	3.82	+	4.71	2.33E-07	9.48E-06
intracellular transport of virus (GO:0075733)	55	12	1.54	+	7.77	2.36E-07	9.55E-06
response to oxygen levels (GO:0070482)	371	31	10.42	+	2.98	2.42E-07	9.80E-06
regulation of glycolytic process (GO:0006110)	67	13	1.88	+	6.91	2.44E-07	9.84E-06
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	93	15	2.61	+	5.74	2.48E-07	1.00E-05
regulation of microtubule cytoskeleton organization (GO:0070507)	153	19	4.30	+	4.42	2.65E-07	1.06E-05
cell cycle checkpoint (GO:0000075)	203	22	5.70	+	3.86	2.67E-07	1.07E-05
positive regulation of innate immune response (GO:0045089)	314	28	8.82	+	3.17	2.77E-07	1.11E-05
cell cycle G2/M phase transition (GO:0044839)	138	18	3.88	+	4.64	2.84E-07	1.13E-05
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	35	10	.98	+	10.17	2.89E-07	1.15E-05
iron-sulfur cluster assembly (GO:0016226)	18	8	.51	+	15.82	2.99E-07	1.18E-05
metallo-sulfur cluster assembly (GO:0031163)	18	8	.51	+	15.82	2.99E-07	1.18E-05
DNA strand elongation involved in DNA replication (GO:0006271)	18	8	.51	+	15.82	2.99E-07	1.19E-05
nuclear ncRNA surveillance (GO:0071029)	6	6	.17	+	35.60	3.26E-07	1.27E-05
nuclear polyadenylation-dependent rRNA catabolic process (GO:0071035)	6	6	.17	+	35.60	3.26E-07	1.28E-05
nuclear polyadenylation-dependent ncRNA catabolic process (GO:0071046)	6	6	.17	+	35.60	3.26E-07	1.28E-05
response to tumor necrosis factor (GO:0034612)	260	25	7.30	+	3.42	3.34E-07	1.30E-05
establishment of localization (GO:0051234)	4466	179	125.44	+	1.43	3.44E-07	1.34E-05
transcription from RNA polymerase I promoter (GO:0006360)	36	10	1.01	+	9.89	3.61E-07	1.40E-05
mitotic spindle organization (GO:0007052)	70	13	1.97	+	6.61	3.80E-07	1.47E-05
transport of virus (GO:0046794)	58	12	1.63	+	7.37	3.88E-07	1.50E-05
regulation of canonical Wnt signaling pathway (GO:0060828)	244	24	6.85	+	3.50	3.94E-07	1.52E-05
spliceosomal tri-snRNP complex assembly (GO:0000244)	12	7	.34	+	20.77	4.15E-07	1.59E-05
positive regulation of protein localization to chromosome, telomeric region (GO:1904816)	12	7	.34	+	20.77	4.15E-07	1.60E-05
response to hypoxia (GO:0001666)	341	29	9.58	+	3.03	4.24E-07	1.62E-05
nucleotide-excision repair, DNA incision, 5'-to lesion (GO:0006296)	37	10	1.04	+	9.62	4.47E-07	1.71E-05
organonitrogen compound metabolic process (GO:1901564)	5472	210	153.69	+	1.37	4.65E-07	1.77E-05
nervous system process (GO:0050877)	1275	10	35.81	-	.28	5.46E-07	2.07E-05
sensory perception of chemical stimulus (GO:0007606)	534	0	15.00	-	 < 0.01	5.63E-07	2.13E-05
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	7	6	.20	+	30.52	5.91E-07	2.23E-05
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	7	6	.20	+	30.52	5.91E-07	2.23E-05
regulation of mitotic sister chromatid segregation (GO:0033047)	61	12	1.71	+	7.00	6.22E-07	2.34E-05
nuclear envelope organization (GO:0006998)	87	14	2.44	+	5.73	6.39E-07	2.40E-05
response to decreased oxygen levels (GO:0036293)	349	29	9.80	+	2.96	6.58E-07	2.46E-05
spindle assembly (GO:0051225)	74	13	2.08	+	6.25	6.65E-07	2.48E-05
rRNA modification (GO:0000154)	39	10	1.10	+	9.13	6.76E-07	2.52E-05
protein import (GO:0017038)	164	19	4.61	+	4.12	6.94E-07	2.58E-05
regulation of ion transport (GO:0043269)	633	1	17.78	-	.06	7.02E-07	2.60E-05
signaling (GO:0023052)	5269	97	147.99	-	.66	7.61E-07	2.81E-05
positive regulation of transcription from RNA polymerase I promoter (GO:0045943)	21	8	.59	+	13.56	7.65E-07	2.82E-05
ribosomal large subunit assembly (GO:0000027)	30	9	.84	+	10.68	8.13E-07	2.99E-05
regulation of organ morphogenesis (GO:2000027)	255	24	7.16	+	3.35	8.16E-07	2.99E-05
nucleotide-excision repair, DNA incision (GO:0033683)	40	10	1.12	+	8.90	8.24E-07	3.02E-05
regulation of carbohydrate catabolic process (GO:0043470)	76	13	2.13	+	6.09	8.70E-07	3.18E-05
detection of stimulus involved in sensory perception (GO:0050906)	526	0	14.77	-	 < 0.01	8.81E-07	3.21E-05
cell communication (GO:0007154)	5367	100	150.74	-	.66	9.14E-07	3.30E-05
regulation of protein localization to chromosome, telomeric region (GO:1904814)	14	7	.39	+	17.80	9.13E-07	3.31E-05
regulation of ATP metabolic process (GO:1903578)	90	14	2.53	+	5.54	9.19E-07	3.31E-05
localization (GO:0051179)	5447	208	152.99	+	1.36	9.21E-07	3.31E-05
nuclear RNA surveillance (GO:0071027)	14	7	.39	+	17.80	9.13E-07	3.31E-05
positive regulation of gene expression (GO:0010628)	1813	88	50.92	+	1.73	9.26E-07	3.32E-05
nuclear mRNA surveillance (GO:0071028)	14	7	.39	+	17.80	9.13E-07	3.32E-05
anatomical structure morphogenesis (GO:0009653)	2013	24	56.54	-	.42	9.62E-07	3.44E-05
antigen receptor-mediated signaling pathway (GO:0050851)	239	23	6.71	+	3.43	9.71E-07	3.46E-05
regulation of protein localization to Cajal body (GO:1904869)	8	6	.22	+	26.70	1.01E-06	3.59E-05
positive regulation of protein localization to Cajal body (GO:1904871)	8	6	.22	+	26.70	1.01E-06	3.60E-05
transcription from RNA polymerase III promoter (GO:0006383)	42	10	1.18	+	8.48	1.21E-06	4.28E-05
detection of chemical stimulus (GO:0009593)	509	0	14.30	-	 < 0.01	1.27E-06	4.49E-05
regulation of mRNA splicing, via spliceosome (GO:0048024)	79	13	2.22	+	5.86	1.28E-06	4.50E-05
positive regulation of RNA splicing (GO:0033120)	32	9	.90	+	10.01	1.28E-06	4.51E-05
protein complex subunit organization (GO:0071822)	1310	69	36.79	+	1.88	1.28E-06	4.51E-05
regulation of Wnt signaling pathway (GO:0030111)	321	27	9.02	+	2.99	1.29E-06	4.51E-05
endonucleolytic cleavage involved in rRNA processing (GO:0000478)	15	7	.42	+	16.62	1.31E-06	4.57E-05
DNA strand elongation (GO:0022616)	23	8	.65	+	12.38	1.34E-06	4.65E-05
snRNA processing (GO:0016180)	23	8	.65	+	12.38	1.34E-06	4.67E-05
maturation of LSU-rRNA (GO:0000470)	23	8	.65	+	12.38	1.34E-06	4.68E-05
regulation of telomere maintenance via telomerase (GO:0032210)	54	11	1.52	+	7.25	1.35E-06	4.70E-05
defense response (GO:0006952)	1223	10	34.35	-	.29	1.42E-06	4.92E-05
positive regulation of viral transcription (GO:0050434)	43	10	1.21	+	8.28	1.45E-06	5.01E-05
positive regulation of establishment of protein localization to telomere (GO:1904851)	9	6	.25	+	23.74	1.64E-06	5.64E-05
translocation of molecules into host (GO:0044417)	9	6	.25	+	23.74	1.64E-06	5.65E-05
translocation of molecules into other organism involved in symbiotic interaction (GO:0051836)	9	6	.25	+	23.74	1.64E-06	5.66E-05
DNA packaging (GO:0006323)	176	19	4.94	+	3.84	1.82E-06	6.23E-05
RNA surveillance (GO:0071025)	16	7	.45	+	15.58	1.84E-06	6.27E-05
positive regulation of macromolecule biosynthetic process (GO:0010557)	1685	82	47.33	+	1.73	1.95E-06	6.65E-05
organelle assembly (GO:0070925)	679	43	19.07	+	2.25	1.98E-06	6.73E-05
transport (GO:0006810)	4357	172	122.37	+	1.41	2.18E-06	7.38E-05
macromolecule methylation (GO:0043414)	235	22	6.60	+	3.33	2.53E-06	8.54E-05
rRNA catabolic process (GO:0016075)	17	7	.48	+	14.66	2.53E-06	8.54E-05
regulation of establishment of protein localization to telomere (GO:0070203)	10	6	.28	+	21.36	2.57E-06	8.66E-05
post-translational protein modification (GO:0043687)	440	32	12.36	+	2.59	2.59E-06	8.70E-05
positive regulation of DNA metabolic process (GO:0051054)	217	21	6.09	+	3.45	2.64E-06	8.84E-05
detection of chemical stimulus involved in sensory perception (GO:0050907)	474	0	13.31	-	 < 0.01	2.72E-06	9.11E-05
regulation of mitotic spindle organization (GO:0060236)	36	9	1.01	+	8.90	2.94E-06	9.79E-05
negative regulation of gene expression (GO:0010629)	1636	80	45.95	+	1.74	2.93E-06	9.79E-05
regulation of microtubule-based process (GO:0032886)	183	19	5.14	+	3.70	3.08E-06	1.02E-04
exonucleolytic trimming involved in rRNA processing (GO:0000459)	5	5	.14	+	35.60	3.37E-06	1.11E-04
exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000467)	5	5	.14	+	35.60	3.37E-06	1.11E-04
nuclear polyadenylation-dependent tRNA catabolic process (GO:0071038)	5	5	.14	+	35.60	3.37E-06	1.12E-04
multicellular organismal process (GO:0032501)	6696	136	188.07	-	.72	3.58E-06	1.18E-04
regulation of hemopoiesis (GO:1903706)	426	31	11.96	+	2.59	3.67E-06	1.20E-04
regulation of innate immune response (GO:0045088)	426	31	11.96	+	2.59	3.67E-06	1.21E-04
cell adhesion (GO:0007155)	869	5	24.41	-	.20	3.73E-06	1.22E-04
regulation of coenzyme metabolic process (GO:0051196)	88	13	2.47	+	5.26	3.74E-06	1.22E-04
biological adhesion (GO:0022610)	874	5	24.55	-	.20	3.80E-06	1.24E-04
regulation of telomere maintenance via telomere lengthening (GO:1904356)	61	11	1.71	+	6.42	3.85E-06	1.25E-04
rRNA 3'-end processing (GO:0031125)	11	6	.31	+	19.42	3.88E-06	1.26E-04
regulation of establishment of protein localization to chromosome (GO:0070202)	11	6	.31	+	19.42	3.88E-06	1.26E-04
DNA damage response, detection of DNA damage (GO:0042769)	38	9	1.07	+	8.43	4.30E-06	1.39E-04
DNA integrity checkpoint (GO:0031570)	153	17	4.30	+	3.96	4.44E-06	1.43E-04
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	28	8	.79	+	10.17	4.56E-06	1.47E-04
microtubule cytoskeleton organization (GO:0000226)	389	29	10.93	+	2.65	4.89E-06	1.57E-04
regulation of spindle organization (GO:0090224)	39	9	1.10	+	8.22	5.17E-06	1.66E-04
protein import into nucleus (GO:0006606)	122	15	3.43	+	4.38	5.32E-06	1.70E-04
regulation of translational initiation (GO:0006446)	77	12	2.16	+	5.55	5.40E-06	1.73E-04
tRNA catabolic process (GO:0016078)	6	5	.17	+	29.67	6.03E-06	1.92E-04
error-prone translesion synthesis (GO:0042276)	20	7	.56	+	12.46	6.05E-06	1.92E-04
regulation of transmembrane transport (GO:0034762)	455	0	12.78	-	 < 0.01	6.29E-06	2.00E-04
DNA recombination (GO:0006310)	212	20	5.95	+	3.36	6.45E-06	2.04E-04
sensory perception of smell (GO:0007608)	458	0	12.86	-	 < 0.01	6.53E-06	2.06E-04
regulation of generation of precursor metabolites and energy (GO:0043467)	125	15	3.51	+	4.27	6.95E-06	2.19E-04
regulation of signal transduction by p53 class mediator (GO:1901796)	177	18	4.97	+	3.62	7.25E-06	2.28E-04
negative regulation of biological process (GO:0048519)	4931	187	138.50	+	1.35	7.46E-06	2.35E-04
movement of cell or subcellular component (GO:0006928)	1424	15	40.00	-	.38	7.58E-06	2.38E-04
snRNA 3'-end processing (GO:0034472)	13	6	.37	+	16.43	8.12E-06	2.54E-04
import into cell (GO:0098657)	623	2	17.50	-	.11	8.38E-06	2.62E-04
regulation of viral transcription (GO:0046782)	67	11	1.88	+	5.85	8.54E-06	2.66E-04
cell-cell adhesion (GO:0098609)	433	0	12.16	-	 < 0.01	8.92E-06	2.77E-04
anatomical structure development (GO:0048856)	5141	99	144.39	-	.69	9.00E-06	2.79E-04
protein modification process (GO:0036211)	3155	130	88.61	+	1.47	9.08E-06	2.81E-04
cellular protein modification process (GO:0006464)	3155	130	88.61	+	1.47	9.08E-06	2.81E-04
regulation of ion transmembrane transport (GO:0034765)	440	0	12.36	-	 < 0.01	9.24E-06	2.85E-04
positive regulation of gene expression, epigenetic (GO:0045815)	55	10	1.54	+	6.47	9.94E-06	3.06E-04
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	14	6	.39	+	15.26	1.13E-05	3.48E-04
regulation of DNA-templated transcription, elongation (GO:0032784)	44	9	1.24	+	7.28	1.21E-05	3.71E-04
animal organ morphogenesis (GO:0009887)	882	6	24.77	-	.24	1.24E-05	3.80E-04
nucleotide-excision repair, DNA gap filling (GO:0006297)	23	7	.65	+	10.84	1.29E-05	3.95E-04
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	429	0	12.05	-	 < 0.01	1.42E-05	4.32E-04
regulation of cofactor metabolic process (GO:0051193)	101	13	2.84	+	4.58	1.44E-05	4.38E-04
Wnt signaling pathway (GO:0016055)	348	26	9.77	+	2.66	1.45E-05	4.40E-04
cell-cell signaling by wnt (GO:0198738)	348	26	9.77	+	2.66	1.45E-05	4.40E-04
positive regulation of protein targeting to mitochondrion (GO:1903955)	86	12	2.42	+	4.97	1.48E-05	4.48E-04
sensory perception (GO:0007600)	947	7	26.60	-	.26	1.48E-05	4.48E-04
regulation of nucleic acid-templated transcription (GO:1903506)	3690	146	103.64	+	1.41	1.51E-05	4.55E-04
positive regulation of organelle organization (GO:0010638)	620	38	17.41	+	2.18	1.51E-05	4.55E-04
positive regulation of telomere maintenance via telomerase (GO:0032212)	34	8	.95	+	8.38	1.54E-05	4.62E-04
kinetochore organization (GO:0051383)	15	6	.42	+	14.24	1.55E-05	4.64E-04
U4 snRNA 3'-end processing (GO:0034475)	8	5	.22	+	22.25	1.61E-05	4.79E-04
viral mRNA export from host cell nucleus (GO:0046784)	8	5	.22	+	22.25	1.61E-05	4.80E-04
positive regulation of cell cycle (GO:0045787)	372	27	10.45	+	2.58	1.61E-05	4.81E-04
ncRNA catabolic process (GO:0034661)	24	7	.67	+	10.38	1.63E-05	4.83E-04
positive regulation of DNA-templated transcription, elongation (GO:0032786)	24	7	.67	+	10.38	1.63E-05	4.84E-04
system development (GO:0048731)	4199	77	117.94	-	.65	1.64E-05	4.85E-04
regulation of mitotic metaphase/anaphase transition (GO:0030071)	46	9	1.29	+	6.97	1.65E-05	4.88E-04
cytoplasmic translation (GO:0002181)	46	9	1.29	+	6.97	1.65E-05	4.89E-04
cell development (GO:0048468)	1493	17	41.93	-	.41	1.74E-05	5.13E-04
regulation of transcription, DNA-templated (GO:0006355)	3666	145	102.97	+	1.41	1.82E-05	5.34E-04
positive regulation of defense response (GO:0031349)	414	29	11.63	+	2.49	1.89E-05	5.54E-04
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	47	9	1.32	+	6.82	1.92E-05	5.62E-04
signal transduction (GO:0007165)	4877	94	136.98	-	.69	1.92E-05	5.62E-04
regulation of RNA biosynthetic process (GO:2001141)	3699	146	103.89	+	1.41	1.94E-05	5.66E-04
biological regulation (GO:0065007)	11969	388	336.17	+	1.15	2.00E-05	5.82E-04
cell motility (GO:0048870)	931	7	26.15	-	.27	2.04E-05	5.91E-04
localization of cell (GO:0051674)	931	7	26.15	-	.27	2.04E-05	5.92E-04
negative regulation of catalytic activity (GO:0043086)	892	49	25.05	+	1.96	2.08E-05	6.04E-04
peptidyl-amino acid modification (GO:0018193)	895	49	25.14	+	1.95	2.14E-05	6.20E-04
positive regulation of telomere maintenance via telomere lengthening (GO:1904358)	36	8	1.01	+	7.91	2.20E-05	6.35E-04
positive regulation of viral process (GO:0048524)	106	13	2.98	+	4.37	2.29E-05	6.59E-04
small nucleolar ribonucleoprotein complex assembly (GO:0000491)	9	5	.25	+	19.78	2.44E-05	7.02E-04
microtubule organizing center organization (GO:0031023)	91	12	2.56	+	4.70	2.46E-05	7.06E-04
ER to Golgi vesicle-mediated transport (GO:0006888)	177	17	4.97	+	3.42	2.55E-05	7.30E-04
positive regulation of telomere maintenance (GO:0032206)	49	9	1.38	+	6.54	2.57E-05	7.36E-04
meiotic cell cycle (GO:0051321)	217	19	6.09	+	3.12	2.86E-05	8.15E-04
regulation of cellular component organization (GO:0051128)	2338	100	65.67	+	1.52	3.00E-05	8.55E-04
regulation of cellular response to heat (GO:1900034)	78	11	2.19	+	5.02	3.06E-05	8.70E-04
positive regulation of mRNA processing (GO:0050685)	27	7	.76	+	9.23	3.10E-05	8.81E-04
tissue development (GO:0009888)	1658	21	46.57	-	.45	3.15E-05	8.92E-04
organelle localization (GO:0051640)	594	36	16.68	+	2.16	3.17E-05	8.97E-04
